name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,sprint_map,projectId,project_map,uniId,id
Khảo sát các phương pháp phân loại Spam,MAJOR,"<html>Nghiên cứu các thuật toán Machine Learning phổ biến để phân loại spam email như Naive Bayes, SVM, Logistic Regression.</html>",2025-02-10,2025-02-15,sprint-1-1,DONE,THEORY,Research,21130320,21130416,Tìm hiểu Naive Bayes - Tìm hiểu SVM - Tìm hiểu Logistic Regression,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Tìm kiếm và lựa chọn Dataset Email,MAJOR,"<html>Tìm kiếm các bộ dữ liệu email có sẵn để huấn luyện mô hình phân loại spam (ví dụ: Enron Spam Dataset, Ling-Spam Dataset). Lựa chọn bộ dữ liệu phù hợp nhất.</html>",2025-02-12,2025-02-17,sprint-1-1,DONE,PRACTICE,Research,21130416,21130319,Khảo sát nguồn dataset - Đánh giá chất lượng dataset,MEDIUM,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Thiết lập môi trường phát triển,MINOR,"<html>Cài đặt Python, Jupyter Notebook/Google Colab và các thư viện cần thiết (pandas, scikit-learn, nltk).</html>",2025-02-09,2025-02-12,sprint-1-1,DONE,PRACTICE,Python,21130319,21130320,Cài đặt Python - Cài đặt thư viện,LOW,1,ed30f4f9-61ee-499c-b68d-e736c3290b2a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Tiền xử lý dữ liệu Email,MAJOR,"<html>Thực hiện các bước tiền xử lý dữ liệu email như loại bỏ ký tự đặc biệt, chuyển đổi chữ thường, loại bỏ stop words, stem/lemmatization.</html>",2025-02-20,2025-02-28,sprint-2-1,INPROCESS,PRACTICE,Python,21130320,21130416,Làm sạch văn bản - Chuẩn hóa dữ liệu,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Thống kê và phân tích Dataset Email,MAJOR,"<html>Thực hiện thống kê mô tả trên dataset đã tiền xử lý, bao gồm số lượng email spam/ham, độ dài trung bình của email, tần suất từ khóa.</html>",2025-02-25,2025-03-03,sprint-2-1,INPROCESS,PRACTICE,Python,21130416,21130319,Biểu đồ tần suất từ - Thống kê email,MEDIUM,2,bc3884ae-e246-4001-857c-b2ddd16ec442,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Feature Engineering cho Email Spam,MAJOR,"<html>Tạo các đặc trưng từ dữ liệu email như TF-IDF, Bag of Words để sử dụng cho mô hình Machine Learning.</html>",2025-02-28,2025-03-05,sprint-2-1,INPROCESS,PRACTICE,Python,21130319,21130320,Xây dựng TF-IDF - Xây dựng Bag of Words,HIGH,2,bc3884ae-e246-4001-857c-b2ddd16ec442,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Lựa chọn và Huấn luyện mô hình Naive Bayes,MAJOR,<html>Tiến hành huấn luyện mô hình Naive Bayes (ví dụ: Multinomial Naive Bayes) trên tập dữ liệu đã xử lý.</html>,2025-03-07,2025-03-14,sprint-3-1,TODO,PRACTICE,Python,21130320,21130416,Huấn luyện Naive Bayes - Tinh chỉnh siêu tham số,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Lựa chọn và Huấn luyện mô hình SVM,MAJOR,<html>Tiến hành huấn luyện mô hình Support Vector Machine (SVM) trên tập dữ liệu đã xử lý.</html>,2025-03-09,2025-03-16,sprint-3-1,TODO,PRACTICE,Python,21130416,21130319,Huấn luyện SVM - Tinh chỉnh siêu tham số,MEDIUM,3,746d0e99-8024-4fd8-8851-0ff42317774a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Đánh giá mô hình phân loại Spam,MAJOR,"<html>Đánh giá hiệu suất của các mô hình đã huấn luyện bằng các chỉ số như Accuracy, Precision, Recall, F1-score và Confusion Matrix.</html>",2025-03-15,2025-03-20,sprint-3-1,TODO,THEORY,Research,21130319,21130320,Tính toán Accuracy - Vẽ Confusion Matrix,HIGH,3,746d0e99-8024-4fd8-8851-0ff42317774a,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
Xây dựng giao diện ứng dụng phân loại Spam,MAJOR,"<html>Xây dựng một giao diện đơn giản (ví dụ: Streamlit, Flask) để người dùng có thể nhập email và nhận kết quả phân loại spam/ham.</html>",2025-03-22,2025-03-30,sprint-5-1,TODO,PRACTICE,Python,21130320,21130416,Thiết kế giao diện người dùng - Kết nối mô hình,MEDIUM,5,cd36124d-d149-4e1b-a716-63db9678cf63,1,09a3fd3d-110c-4021-b4f2-13e32f43e261,21130320,
