name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,uniId,id
Chọn đề tài và ngôn ngữ,MAJOR,"<p>Nghiên cứu các đề tài OOP tiềm năng và lựa chọn ngôn ngữ lập trình phù hợp (ví dụ: Java, C#).</p>",2025-02-09,2025-02-15,sprint1-project1,TODO,THEORY,"Java,OOP",21130320,21130416,Nghiên cứu đề tài - Lựa chọn ngôn ngữ,MEDIUM,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Xác định chức năng chính,MAJOR,<p>Liệt kê các chức năng cơ bản cần có cho hệ thống quản lý đơn hàng online.</p>,2025-02-10,2025-02-14,sprint1-project1,DONE,PRACTICE,Document,21130416,21130319,Xác định chức năng - Tạo danh sách,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế Use Case Diagram ban đầu,MINOR,<p>Vẽ sơ đồ Use Case cho các chức năng đã xác định của hệ thống quản lý đơn hàng.</p>,2025-02-11,2025-02-15,sprint1-project1,INPROCESS,PRACTICE,Document,21130319,21130320,Vẽ sơ đồ - Mô tả Use Case,LOW,1b19a7f7-7e06-4a7c-a3a0-918eb14670bf,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Tìm hiểu 4 nguyên tắc OOP,MAJOR,"<p>Nghiên cứu sâu về Tính đóng gói, Kế thừa, Đa hình và Trừu tượng trong ngữ cảnh ứng dụng quản lý đơn hàng.</p>",2025-02-16,2025-02-20,sprint2-project1,DONE,THEORY,OOP,21130320,21130416,Đọc tài liệu - Xem ví dụ,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế Class Diagram cho Lớp Sản phẩm,MAJOR,"<p>Vẽ Class Diagram cho các lớp liên quan đến <code>Product</code>, <code>Order</code>, <code>Customer</code>.</p>",2025-02-18,2025-02-25,sprint2-project1,INPROCESS,PRACTICE,"OOP,Document",21130416,21130319,Xác định thuộc tính - Định nghĩa phương thức,MEDIUM,49dd8be6-7191-430b-acae-501c1bee2770,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực lớp Product và Customer,MAJOR,"<p>Viết mã Java cho lớp <code>Product</code> và <code>Customer</code>, áp dụng các nguyên tắc đóng gói.</p>",2025-02-22,2025-03-01,sprint2-project1,INPROCESS,PRACTICE,Java,21130319,21130320,Code lớp Product - Code lớp Customer,HIGH,49dd8be6-7191-430b-acae-501c1bee2770,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Áp dụng Strategy Pattern cho phương thức thanh toán,MAJOR,"<p>Hiện thực Strategy Pattern để quản lý các phương thức thanh toán khác nhau (ví dụ: tiền mặt, chuyển khoản, thẻ).</p>",2025-03-02,2025-03-08,sprint3-project1,INPROCESS,PRACTICE,"OOP,Java",21130320,21130416,Thiết kế Interface PaymentStrategy - Hiện thực Concrete Strategy,HIGH,542b89e4-501f-418c-8e43-890f945e847a,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Ghi tài liệu về Strategy Pattern,MINOR,<p>Viết báo cáo ngắn gọn về cách áp dụng Strategy Pattern trong dự án quản lý đơn hàng.</p>,2025-03-03,2025-03-07,sprint3-project1,TODO,THEORY,Document,21130416,21130319,Mô tả Pattern - Ví dụ minh họa,LOW,542b89e4-501f-418c-8e43-890f945e847a,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Hiện thực Singleton Pattern cho quản lý cấu hình,MAJOR,<p>Áp dụng Singleton Pattern để đảm bảo chỉ có một thể hiện của lớp <code>ConfigurationManager</code> quản lý cấu hình hệ thống.</p>,2025-03-09,2025-03-15,sprint4-project1,INPROCESS,PRACTICE,"OOP,Java",21130319,21130320,Thiết kế lớp Singleton - Kiểm thử,HIGH,00bf93d6-7893-481b-b3a6-7536a788f22d,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
Thiết kế Observer Pattern cho cập nhật trạng thái đơn hàng,MAJOR,"<p>Hiện thực Observer Pattern để thông báo cho khách hàng khi trạng thái đơn hàng thay đổi (ví dụ: đã xác nhận, đang giao hàng).</p>",2025-03-10,2025-03-14,sprint4-project1,TODO,PRACTICE,"OOP,Java",21130320,21130416,Thiết kế Subject - Thiết kế Observer,HIGH,00bf93d6-7893-481b-b3a6-7536a788f22d,5122db1f-5ad5-4c6a-baea-404608794939,21130320,
