uniId,skills
20130196,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
20130224,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
20130225,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
20130237,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation"
21130004,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130042,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130076,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
21130171,"CSS, Document, ERD, HTML, JDBI, JS, JSP, Java, Research, nan"
21130175,"CSS, Document, ERD, HTML, JDBI, JS, JSP, Java, Research, nan"
21130219,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
21130279,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130304,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
21130309,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130319,"CSS, Design, HTML, JDBC, JDBI, JS, JSP, Java, Research"
21130320,"CSS, Design, Document, HTML, JDBC, JDBI, JS, JSP, Java, Research"
21130326,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130335,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
21130359,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130363,"CSS, Document, ERD, HTML, JDBI, JS, JSP, Java, Research"
21130367,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130371,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
21130386,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130390,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research"
21130416,"CSS, Design, Document, HTML, JDBC, JDBI, JS, JSP, Java, Research"
21130444,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
21130451,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
21130509,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
21130601,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
21130612,"CSS, HTML, JDBC, JDBI, JS, JSP, Java"
22130001,"CSS, Database, Document, ERD, HTML, JDBC, JS, JSP, Java, Presentation, Research, nan"
